record_id,category,component,owning_contract,current_level,evidence_state,trust_seam,target_cutover,rollback_double_trade,queued_work_direct_egress,operator_state_owner,decommission_criteria,authority_state
TOS-brokeradapter,TOS_PACKAGE,tos.brokeradapter,ADR-002-013/RFC-002 §10.8,PROVISIONAL_SYNTHETIC_TRANSPORT,NO_DIRECT_REGISTER_FAMILY_CLOSES_NO_EV,Only synthetic transport exists; real broker capability credential and result seams unresolved,Real isolated broker adapter behind verified egress gateway after broker evidence,No live activation; synthetic rollback cannot transmit,Invalidate synthetic attempts; no current direct live egress in package,TBD-consolidated-operator-safety-state-owner,No transport consumer remains and replacement preserves one-send one-result and isolation,NON_AUTHORIZING_OPEN
TOS-brokercap,TOS_PACKAGE,tos.brokercap,ADR-002-004,L1_PURE_PREDICATE_SUBSTRATE,BC-EV 22 NOT_IMPLEMENTED,Injected broker profile and future enforcing runtime; measured profile is external,Approved environment-bound broker profile enforced at adapter and gateway,No activation today; scope reduces on rollback or profile loss,Invalidate profile-dependent queued work; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No active profile or consumer remains and replacement preserves unknown-as-inadmissible semantics,NON_AUTHORIZING_OPEN
TOS-canonical,TOS_PACKAGE,tos.canonical,Shared substrate for ADR-002-002/016/018,SHARED_DIGEST_SUBSTRATE,NO_DIRECT_REGISTER_FAMILY,Provisional canonical scheme outside package consumers can misuse version,Production scheme registry and migration proof before artifact cutover,Keep old decoder read-only; never accept two meanings for one version,Invalidate artifacts on scheme/version change; no direct egress,TBD-consolidated-operator-safety-state-owner,All persisted artifacts migrated or retained with decoder and no active producer uses old scheme,NON_AUTHORIZING_OPEN
TOS-capsule,TOS_PACKAGE,tos.capsule,ADR-002-018,L1_PURE_PREDICATE_SUBSTRATE,CII-EV 8 READY 4 NOT_IMPLEMENTED,Acquisition continuity and production canonicalization remain external trust seams,Real context assembly admits only governed continuous sources before engine cutover,No activation today; fallback is no approvable decision not ambient values,Invalidate dependent proposals by capsule digest; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No capsule dependency remains and replacement preserves exact snapshot binding and stale fencing,NON_AUTHORIZING_OPEN
TOS-cur,TOS_PACKAGE,tos.cur,ADR-002-024,L1_PURE_PREDICATE_SUBSTRATE,CUR-EV 1 READY 11 NOT_IMPLEMENTED,Per-send transaction quorum latch clock and enforcement runtime absent,Real per-send currentness service at final egress after evidence,No activation today; loss of service denies send,Advance fences and invalidate old proofs; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-001; replacement currentness is active at every send and all old proofs fenced,NON_AUTHORIZING_OPEN
TOS-dsl,TOS_PACKAGE,tos.dsl,ADR-DEV-001/003/007,L1_PURE_EVALUATOR_SUBSTRATE,DCE-EV 7 NOT_IMPLEMENTED,Typed in-process admission and provisional canonicalization; no approval or capacity,Serialized authoring escape closure and captured Critical Inputs bound to real engine,No activation today; rollback to no admitted TOS strategy,Invalidate strategy/capsule dependent work; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No registered strategy or proposal depends on old DSL and replacement proves semantic/replay equivalence,NON_AUTHORIZING_OPEN
TOS-egress,TOS_PACKAGE,tos.egress,ADR-002-013,L1_PURE_PREDICATE_SUBSTRATE,EGRESS-EV 2 READY 11 NOT_IMPLEMENTED,Signature quorum credential custody bypass resistance and real enforcement are injected,Real security boundary and QCC verification at every final send,No activation today; loss of proof denies send and no alternate sender,Invalidate capabilities and route proofs; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-005; replacement single gateway active and all old credentials/routes removed,NON_AUTHORIZING_OPEN
TOS-egressgw,TOS_PACKAGE,tos.egressgw,ADR-002-002/013 and RFC-002 §10.8,PROVISIONAL_VERTICAL_SLICE,NO_DIRECT_REGISTER_FAMILY_CLOSES_NO_EV,Provisional bounds authority stand-ins and synthetic transport; final six broker checks deferred,Real bounds IAP RCL currentness QCC and broker adapter before any non-synthetic send,No live activation; rollback synthetic path only and preserve one egress,Invalidate attempts by generation; package currently has no direct live broker route,TBD-consolidated-operator-safety-state-owner,No attempt/capability outstanding and accepted replacement preserves 17-item verification and exact outbound binding,NON_AUTHORIZING_OPEN
TOS-engine,TOS_PACKAGE,tos.engine,RFC-003/RFC-005/ADR-002-002,PROVISIONAL_OWNING_RUNTIME,TOS_TESTS_ONLY_CLOSES_NO_EV,Independent approval Aggregate Risk AFG and RCL are non-authoritative stand-ins; sink provisional,Replace every stand-in with real independently deployed authority and linearizable RCL,No live activation; rollback registration or stop new TOS decisions without touching legacy egress,Invalidate queued events proposals attempts and reservations by generation; engine has no direct broker send,TBD-consolidated-operator-safety-state-owner,No active strategy/event/reservation dependency and replacement passes cutover rollback and at-most-one evidence,NON_AUTHORIZING_OPEN
TOS-evidence,TOS_PACKAGE,tos.evidence,ADR-002-016,L1_PURE_LEDGER_SUBSTRATE,ERI-EV 5 READY 7 NOT_IMPLEMENTED,Provisional segment commitment and storage; receipt unverified and no custody service,Real append-only evidence service with approved scheme retention and reviewer provenance,No activation today; retain old ledger read-only and never rewrite,Invalidate no authority from evidence; package has no direct egress,TBD-consolidated-operator-safety-state-owner,Retention obligations met and accepted replacement proves completeness conflict detection and replay custody,NON_AUTHORIZING_OPEN
TOS-failuredomain,TOS_PACKAGE,tos.failuredomain,ADR-002-009,L1_COORDINATE_SUBSTRATE,FD-EV 12 NOT_IMPLEMENTED,Injected deployment topology and isolation proofs; no enforcement,Real deployment isolation and fault evidence before scope admission,No activation today; scope reduction on unknown isolation,Invalidate deployment-dependent work; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No isolation claim consumer and replacement preserves coordinate coverage and fail-closed unknown,NON_AUTHORIZING_OPEN
TOS-hag,TOS_PACKAGE,tos.hag,ADR-002-015,L1_PURE_PREDICATE_SUBSTRATE,HAG-EV 8 READY 10 NOT_IMPLEMENTED,Human identity quorum credential and attestation service absent,Real Human Authority Service with exact scope separation and independent custody,No activation today; revoke scopes and deny re-arm on rollback,Invalidate approvals delegations and break-glass tokens; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-006; no outstanding approval/delegation and accepted replacement preserves dual control,NON_AUTHORIZING_OPEN
TOS-iap,TOS_PACKAGE,tos.iap,ADR-002-023,L1_APPROVAL_DECISION_KERNEL,IAP-EV 4 READY 8 NOT_IMPLEMENTED,Not human approval and no owning independent service signer registry or egress,Real independent service recomputes exact proposal facts and consumes single use,No activation today; missing service denies approval,Invalidate requests decisions and consumptions by generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No approval artifact dependency and replacement preserves exact binding independence and single use,NON_AUTHORIZING_OPEN
TOS-ioc,TOS_PACKAGE,tos.ioc,ADR-002-020,L1_PURE_PREDICATE_SUBSTRATE,IOC-EV 3 READY 9 NOT_IMPLEMENTED,Injected final construction values and future compiler/enforcer runtime,Bind deterministic construction and verify exact approved command before egress,No activation today; construction uncertainty denies send,Invalidate commands on input/profile change; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No command consumer and replacement proves direction unit price quantity and mutation conformance,NON_AUTHORIZING_OPEN
TOS-liveauth,TOS_PACKAGE,tos.liveauth,ADR-002-007,L1_PURE_PREDICATE_SUBSTRATE,REARM-EV 12 NOT_IMPLEMENTED,No real Live Armer authority registry epoch or revocation runtime,Real Live Authorization service after RLP and human approval,No activation today; revocation/no authorization is rollback,Invalidate every live token and queued request; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No live authorization exists or all are revoked and replacement preserves scope/epoch currentness,NON_AUTHORIZING_OPEN
TOS-marketfeed,TOS_PACKAGE,tos.marketfeed,ADR-002-018 project design D-E2,PROVISIONAL_VALUE_RESOLVER,NO_DIRECT_REGISTER_FAMILY_CLOSES_NO_EV,Acquisition continuity source entitlement and producer service outside package,Governed continuity pipeline produces exact admitted ContextValue views,No activation today; missing producer yields no value/no action,Invalidate views and dependent capsules by source generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No view consumer and replacement proves source/value/digest/timestamp binding and continuity,NON_AUTHORIZING_OPEN
TOS-nontrade,TOS_PACKAGE,tos.nontrade,ADR-002-028,L1_PURE_PREDICATE_SUBSTRATE,NT-EV 2 READY 10 NOT_IMPLEMENTED,Corporate action/fee/cash source ingestion and owning runtime absent,Real non-trade event service with reconciliation and capacity continuity,No activation today; unknown event blocks affected scope,Invalidate dependent projections; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No unresolved non-trade effect and replacement preserves units residual and monotone handling,NON_AUTHORIZING_OPEN
TOS-ordering,TOS_PACKAGE,tos.ordering,Shared substrate for ADR-002-016/008,SHARED_ORDERING_SUBSTRATE,NO_DIRECT_REGISTER_FAMILY,Consumers inject coordinates; no global clock or sequencer authority,Approved coordinate domains and real sequencer/time sources before cutover,Keep old comparator read-only through artifact migration,Invalidate artifacts if ordering domain changes; no direct egress,TBD-consolidated-operator-safety-state-owner,All persisted coordinates migrated/decodable and no producer uses old order semantics,NON_AUTHORIZING_OPEN
TOS-orthostate,TOS_PACKAGE,tos.orthostate,ADR-002-006,L1_PURE_STATE_SUBSTRATE,STATE-EV 2 READY 3 NOT_IMPLEMENTED,No authoritative state owner or transition persistence runtime,Real orthogonal-state service after approval/risk/effect bindings,No activation today; unknown state is restrictive,Invalidate transitions on generation conflict; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No state consumer or unresolved transition and replacement preserves axes/non-revival,NON_AUTHORIZING_OPEN
TOS-posttrade,TOS_PACKAGE,tos.posttrade,ADR-002-030,L1_PURE_PREDICATE_SUBSTRATE,PTF-EV 12 NOT_IMPLEMENTED,No PTOL settlement authority statement ingestion or finality runtime,Real post-trade obligation ledger and settlement evidence before capacity release,No activation today; unresolved obligations retain conservative effect,Invalidate no obligation by deletion; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-003; all obligations final and replacement preserves no-manufactured-finality,NON_AUTHORIZING_OPEN
TOS-protective,TOS_PACKAGE,tos.protective,ADR-002-001,L1_PURE_PREDICATE_SUBSTRATE,PRD-EV 1 READY 1 NOT_IMPLEMENTED,Protective classifier/controller broker capability and runtime absent,Real Protective Action Controller and evidence before protective classification,No activation today; uncertainty permits no new protective authority,Invalidate classification/proofs on input change; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No protective lease/action dependency and replacement preserves narrow classification and capacity rules,NON_AUTHORIZING_OPEN
TOS-rcl,TOS_PACKAGE,tos.rcl,ADR-002-002/012,L1_IN_MEMORY_PREDICATE_SUBSTRATE,RCLP-EV 3 READY 9 NOT_IMPLEMENTED,Not linearizable not distributed and no quorum Safety Commit Log,Real durable linearizable RCL plus quorum and recovery evidence before capacity authority,No activation today; never run two capacity writers; rollback freezes new commits,Invalidate reservations by governed reconciliation not deletion; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-002; zero unresolved effects plus accepted replacement and writer fencing,NON_AUTHORIZING_OPEN
TOS-recon,TOS_PACKAGE,tos.recon,ADR-002-005,L1_PURE_PREDICATE_SUBSTRATE,RECON-EV 5 NOT_IMPLEMENTED,Broker statements feeds clocks and owning reconciliation service absent,Real reconciliation authority over independently sourced broker/account state,No activation today; contradiction retains worst credible effect,Queued work invalidated on contradiction; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No unresolved discrepancy and replacement preserves per-field confidence conflict and release proof,NON_AUTHORIZING_OPEN
TOS-replacement,TOS_PACKAGE,tos.replacement,ADR-002-011,L1_PURE_PREDICATE_SUBSTRATE,PR-EV 2 READY 10 NOT_IMPLEMENTED,Cancellation Arbiter Protective Controller broker and RCL runtimes absent,Real overlap-first protective replacement workflow after evidence,No activation today; keep old protection if replacement uncertain,Invalidate replacement plans on currentness change; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No replacement in progress and accepted replacement preserves no protection gap/finality rules,NON_AUTHORIZING_OPEN
TOS-rlp,TOS_PACKAGE,tos.rlp,ADR-002-025,L1_PURE_PREDICATE_SUBSTRATE,RLP-EV 4 READY 8 NOT_IMPLEMENTED,Human trial approval live runtime broker security and evidence assembly absent,Real restricted-live workflow only after separate human authorization and evidence,No activation today; revoke trial scope and halt new entries on rollback,Invalidate trial work by plan/generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No active trial and replacement preserves exact scope abort/promotion/non-authority,NON_AUTHORIZING_OPEN
TOS-sbr,TOS_PACKAGE,tos.sbr,ADR-002-017,L1_PURE_PREDICATE_SUBSTRATE,SBR-EV 5 READY 7 NOT_IMPLEMENTED,No Recovery Coordinator generation store broker reconciliation or re-arm runtime,Real recovery barrier and coordinator after evidence,No activation today; rollback remains halted/no re-arm,Invalidate recovery tokens and queued work by generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-007; no recovery in progress and replacement preserves monotone generation and no auto-resume,NON_AUTHORIZING_OPEN
TOS-sci,TOS_PACKAGE,tos.sci,ADR-002-029,L1_PURE_PREDICATE_SUBSTRATE,SCI-EV 4 READY 8 NOT_IMPLEMENTED,Build signer registry deployment admission currentness and incident runtimes absent,Real content-addressed artifact admission and deployment enforcement,No activation today; unadmitted artifact cannot run,Invalidate artifact admission and queued deployment by digest/generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-004; no running consumer uses old admission and replacement preserves source/review integrity,NON_AUTHORIZING_OPEN
TOS-sir,TOS_PACKAGE,tos.sir,ADR-002-027,L1_PURE_PREDICATE_SUBSTRATE,SIR-EV 3 READY 9 NOT_IMPLEMENTED,Incident classifier signal custody containment and broker finality runtime absent,Real incident service with combined scope containment and honest evidence,No activation today; rollback cannot revive closed authority,Invalidate incident-dependent work and generations; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-008; all incidents/effects resolved and replacement preserves restrictive declarations,NON_AUTHORIZING_OPEN
TOS-spg,TOS_PACKAGE,tos.spg,ADR-002-014,L1_PURE_PREDICATE_SUBSTRATE,SPG-EV 7 READY 1 PASS 4 NOT_IMPLEMENTED,One PASS is scoped evidence only; activation signer registry and numeric profile runtime unresolved,Real approved profile activation service with current bounds and evidence,No activation today; rollback suspends profile and narrows authority,Invalidate decisions on profile generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No active profile/consumer and replacement preserves narrow-only material change and non-revival,NON_AUTHORIZING_OPEN
TOS-staterestore,TOS_PACKAGE,tos.staterestore,ADR-002-005 §13 / EV-L3 pilot design #39,PILOT_LOCAL_DURABLE_STORE,STATE-EV 2 READY 3 NOT_IMPLEMENTED,Pilot-scope local sqlite store is not the ADR-002-005 §4 project persistence decision; no authoritative state owner or failover and no Recovery Barrier,Replace with the decided project persistence technology and a real owning state service before cutover,No activation today; local durable markers only and reconstruction is conservative,Re-derive from the store on resume; package has no direct egress because local persistence is not transmission,TBD-consolidated-operator-safety-state-owner,No evidence package depends on the pilot substrate and accepted replacement preserves durable-restart conservatism,NON_AUTHORIZING_OPEN
TOS-stm,TOS_PACKAGE,tos.stm,ADR-002-028,L1_PURE_PREDICATE_SUBSTRATE,STM-EV 2 READY 10 NOT_IMPLEMENTED,Telemetry collector monitor evaluator source coverage and alert runtime absent,Real monitor service with complete source ownership and generation fencing,No activation today; missing telemetry narrows scope,Invalidate monitor decisions and queued work by generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-008; no active decision depends on old telemetry and replacement preserves coverage/honesty,NON_AUTHORIZING_OPEN
TOS-time,TOS_PACKAGE,tos.time,ADR-002-008,L1_PURE_PREDICATE_SUBSTRATE,TIME-EV 10 NOT_IMPLEMENTED,Trusted clock synchronization uncertainty and owning time service absent,Real trustworthy time service with bound uncertainty and monotone coordinates,No activation today; unknown time denies time-sensitive action,Invalidate freshness-dependent work; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No active artifact uses old time domain and replacement preserves uncertainty/ordering semantics,NON_AUTHORIZING_OPEN
TOS-venue,TOS_PACKAGE,tos.venue,ADR-002-019,L1_PURE_PREDICATE_SUBSTRATE,VTG-EV 2 READY 10 NOT_IMPLEMENTED,Venue calendar halt rule broker capability and enforcing runtime absent,Real Venue Authority with exact product/session/capability evidence,No activation today; unknown venue state denies action,Invalidate venue-dependent work; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No venue decision consumer and replacement preserves exact scope/unknown denial/currentness,NON_AUTHORIZING_OPEN
TOS-wdr,TOS_PACKAGE,tos.wdr,ADR-002-026,L1_PURE_PREDICATE_SUBSTRATE,WDR-EV 4 READY 8 NOT_IMPLEMENTED,Waiver authority reviewer conflict checks activation and custody runtime absent,Real deviation service with non-waivable boundary and exact lifecycle,No activation today; revoke/suspend deviations and never widen on rollback,Invalidate deviation-dependent work by generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,See COMPLEXITY-008; no active waiver/effect and replacement preserves non-waivable and non-revival rules,NON_AUTHORIZING_OPEN
COMPLEXITY-001,COMPLEXITY_DECOMMISSION,Per-send fenced currentness,ADR-002-024,L1_SUBSTRATE_NOT_RUNTIME,CUR-EV 1 READY 11 NOT_IMPLEMENTED,Currentness service latch quorum and final-egress atomicity absent,Accepted replacement proves currentness at every send and operator view shows all dimensions,Stop new sends; preserve old verifier read-only; no alternate egress,Advance every fence and invalidate old proofs/queued sends; remove old verifier only after route negative proof,TBD-consolidated-operator-safety-state-owner,No outstanding send/capability; replacement active at every final send; stale-proof and partition tests pass,PROPOSED_Q6_NOT_GOVERNING
COMPLEXITY-002,COMPLEXITY_DECOMMISSION,RCL quorum Safety Commit Log,ADR-002-002/012,L1_SUBSTRATE_NOT_LINEARIZABLE,RCLP-EV 3 READY 9 NOT_IMPLEMENTED,Real consensus durable ledger broker finality and recovery absent,Freeze old commits; reconcile all effects; install accepted linearizable replacement with fenced writer epoch,Rollback keeps one writer and old ledger read-only; mismatch means no new capacity,Invalidate reservations only through governed finality/reconciliation; no egress route depends on old writer,TBD-consolidated-operator-safety-state-owner,Zero unresolved effects; balances/epochs migrated; replacement quorum and recovery evidence; dual-writer proof negative,PROPOSED_Q6_NOT_GOVERNING
COMPLEXITY-003,COMPLEXITY_DECOMMISSION,PTOL post-trade finality,ADR-002-030,L1_SUBSTRATE_NOT_SETTLEMENT_AUTHORITY,PTF-EV 12 NOT_IMPLEMENTED,Settlement statement legal finality and obligation ledger absent,Accepted replacement owns all obligations and finality without treating fill/statement/process stop as settlement,Rollback retains old obligations read-only and no capacity is released,Queued release work invalidated; egress removal waits for Final Quantity and settlement reconciliation,TBD-consolidated-operator-safety-state-owner,Every obligation settled transferred or legally expired with proof; retention met; replacement finality evidence passes,PROPOSED_Q6_NOT_GOVERNING
COMPLEXITY-004,COMPLEXITY_DECOMMISSION,Supply-chain artifact admission,ADR-002-029,L1_SUBSTRATE_NOT_DEPLOYMENT_ENFORCEMENT,SCI-EV 4 READY 8 NOT_IMPLEMENTED,Signer identity build provenance registry and deployment enforcement absent,Accepted replacement admits exact artifact digests and fences every deployment/runtime load,Rollback prevents unadmitted deploy and preserves old attestations read-only,Invalidate queued deploys and old admission generations; egress binaries/credentials must also be newly admitted,TBD-consolidated-operator-safety-state-owner,All running/deployable artifacts admitted by replacement; old keys/routes revoked; provenance and compromise tests pass,PROPOSED_Q6_NOT_GOVERNING
